"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.03.2026","8,73","8,60","8,88","8,56","5,06M","0,46%"
"05.03.2026","8,69","8,91","8,94","8,60","5,36M","-3,55%"
"04.03.2026","9,01","8,72","9,01","8,71","9,35M","5,13%"
"03.03.2026","8,57","8,69","8,77","8,44","8,37M","-4,67%"
"02.03.2026","8,99","9,03","9,08","8,86","4,95M","-1,32%"
"27.02.2026","9,11","9,61","9,61","9,09","12,31M","-5,20%"
"26.02.2026","9,61","9,90","9,95","9,54","9,94M","-2,73%"
"25.02.2026","9,88","10,00","10,04","9,77","13,43M","-1,00%"
"24.02.2026","9,98","9,42","10,00","9,38","12,95M","6,40%"
"23.02.2026","9,38","9,28","9,42","9,19","9,11M","-0,74%"
"20.02.2026","9,45","9,29","9,49","9,23","5,25M","1,07%"
"19.02.2026","9,35","9,38","9,51","9,27","4,88M","0,75%"
"18.02.2026","9,28","9,20","9,40","9,11","5,45M","0,98%"
"13.02.2026","9,19","9,07","9,24","8,74","9,47M","0,33%"
"12.02.2026","9,16","9,48","9,50","9,12","9,43M","-3,98%"
"11.02.2026","9,54","9,53","9,67","9,30","8,36M","0,63%"
"10.02.2026","9,48","9,19","9,55","9,16","9,75M","2,38%"
"09.02.2026","9,26","9,14","9,26","9,06","5,65M","1,65%"
"06.02.2026","9,11","8,94","9,11","8,87","4,33M","1,90%"
"05.02.2026","8,94","8,72","9,07","8,71","5,91M","2,29%"
"04.02.2026","8,74","8,84","8,94","8,71","8,90M","-2,35%"
